CPU Stats,Memory Stats,Network Stats,Up Time
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[408927897, 568788704, 890288, 1108567]",177771.89
"[1.2, 50.5]","[5.28, 32.9, 2.49]","[408933059, 568793642, 890333, 1108612]",177772.89
"[1.0, 51.6]","[5.28, 32.9, 2.49]","[408938156, 568798660, 890380, 1108658]",177773.90
"[0.8, 51.0]","[5.28, 32.9, 2.49]","[408945847, 568804549, 890452, 1108723]",177774.90
"[0.7, 51.0]","[5.28, 32.9, 2.49]","[408952927, 568810475, 890518, 1108788]",177775.90
"[0.8, 52.1]","[5.28, 32.9, 2.49]","[408960498, 568816860, 890587, 1108855]",177776.91
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[408965790, 568821240, 890633, 1108896]",177777.91
"[1.2, 51.0]","[5.28, 32.9, 2.49]","[408970724, 568826202, 890680, 1108942]",177778.91
"[0.5, 51.0]","[5.28, 32.9, 2.49]","[408978047, 568832323, 890749, 1109006]",177779.92
"[0.5, 51.6]","[5.28, 32.9, 2.49]","[408985197, 568837911, 890815, 1109066]",177780.92
"[0.8, 51.0]","[5.28, 32.9, 2.49]","[408993200, 568843990, 890887, 1109133]",177781.93
"[1.8, 49.9]","[5.28, 32.9, 2.49]","[408998133, 568848671, 890930, 1109175]",177782.93
"[1.0, 51.6]","[5.28, 32.9, 2.49]","[409002840, 568853482, 890973, 1109218]",177783.93
"[1.0, 49.9]","[5.28, 32.9, 2.49]","[409010337, 568859375, 891043, 1109283]",177784.94
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409017678, 568865614, 891112, 1109347]",177785.94
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409025772, 568872280, 891187, 1109418]",177786.94
"[0.5, 50.5]","[5.28, 32.9, 2.49]","[409030979, 568876720, 891233, 1109461]",177787.95
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[409035890, 568881643, 891278, 1109505]",177788.95
"[0.8, 49.9]","[5.28, 32.9, 2.49]","[409043462, 568888051, 891350, 1109574]",177789.95
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[409050628, 568893649, 891416, 1109635]",177790.96
"[1.0, 51.0]","[5.28, 32.9, 2.49]","[409062198, 568903042, 891511, 1109723]",177791.96
"[0.7, 51.0]","[5.28, 32.9, 2.49]","[409067424, 568908815, 891559, 1109772]",177792.96
"[0.5, 51.0]","[5.28, 32.9, 2.49]","[409072935, 568914194, 891610, 1109823]",177793.97
"[1.0, 51.0]","[5.28, 32.9, 2.49]","[409082803, 568922606, 891700, 1109908]",177794.97
"[0.0, 50.5]","[5.28, 32.9, 2.49]","[409089978, 568928661, 891765, 1109969]",177795.98
"[0.0, 50.5]","[5.28, 32.9, 2.49]","[409098673, 568935698, 891842, 1110043]",177796.98
"[1.5, 51.0]","[5.28, 32.9, 2.49]","[409116918, 568952373, 891964, 1110172]",177797.99
"[1.5, 50.5]","[5.28, 32.9, 2.49]","[409125002, 568959047, 892012, 1110219]",177798.99
"[0.3, 49.4]","[5.28, 32.9, 2.49]","[409133655, 568966336, 892092, 1110296]",177800.00
"[1.0, 51.0]","[5.28, 32.9, 2.49]","[409141858, 568972979, 892168, 1110369]",177801.00
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409155890, 568985400, 892289, 1110490]",177802.01
"[1.0, 49.9]","[5.28, 32.9, 2.49]","[409167908, 568996590, 892380, 1110579]",177803.01
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409181088, 569008362, 892477, 1110674]",177804.02
"[0.5, 49.9]","[5.28, 32.9, 2.49]","[409191955, 569017849, 892566, 1110763]",177805.02
"[0.5, 48.8]","[5.28, 32.9, 2.49]","[409201353, 569025315, 892641, 1110835]",177806.03
"[0.5, 49.9]","[5.28, 32.9, 2.49]","[409210056, 569032294, 892719, 1110909]",177807.03
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[409215285, 569036949, 892766, 1110955]",177808.04
"[0.3, 50.5]","[5.28, 32.9, 2.49]","[409220454, 569041818, 892812, 1110999]",177809.04
"[1.0, 49.9]","[5.28, 32.9, 2.49]","[409228106, 569048134, 892878, 1111063]",177810.05
"[0.3, 49.4]","[5.28, 32.9, 2.49]","[409235150, 569053654, 892941, 1111121]",177811.05
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[409243717, 569060681, 893021, 1111198]",177812.05
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409248743, 569065391, 893065, 1111240]",177813.06
"[0.5, 50.5]","[5.28, 32.9, 2.49]","[409254118, 569070064, 893111, 1111283]",177814.06
"[0.5, 49.9]","[5.28, 32.9, 2.49]","[409261651, 569076411, 893176, 1111347]",177815.07
"[1.5, 50.5]","[5.28, 32.9, 2.49]","[409277599, 569083478, 893254, 1111414]",177816.07
"[0.8, 49.9]","[5.28, 32.9, 2.49]","[409286263, 569089830, 893330, 1111482]",177817.07
"[0.7, 50.5]","[5.28, 32.9, 2.49]","[409291054, 569094477, 893372, 1111524]",177818.08
"[0.5, 49.4]","[5.28, 32.9, 2.49]","[409296523, 569099304, 893418, 1111568]",177819.08
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409304101, 569105556, 893485, 1111632]",177820.09
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[409311890, 569111393, 893555, 1111693]",177821.09
"[0.8, 50.5]","[5.28, 32.9, 2.49]","[409320268, 569118203, 893633, 1111766]",177822.09
"[0.8, 48.8]","[5.28, 32.9, 2.49]","[409325854, 569123461, 893683, 1111813]",177823.10
"[1.5, 48.8]","[5.28, 32.9, 2.49]","[409349303, 569144623, 893842, 1111968]",177824.17
"[1.2, 50.5]","[5.28, 32.9, 2.49]","[409364295, 569156571, 893932, 1112058]",177825.18
"[1.3, 50.5]","[5.27, 32.9, 2.49]","[409382459, 569172953, 894062, 1112189]",177826.18
"[1.0, 51.6]","[5.28, 32.9, 2.49]","[409390816, 569179220, 894138, 1112257]",177827.19
"[0.7, 49.9]","[5.28, 32.9, 2.49]","[409394476, 569183008, 894168, 1112288]",177828.19
"[0.8, 49.9]","[5.28, 32.9, 2.49]","[409398844, 569187174, 894206, 1112324]",177829.20
"[0.7, 50.5]","[5.28, 32.9, 2.49]","[409406395, 569192997, 894271, 1112385]",177830.20
"[1.0, 50.5]","[5.27, 32.9, 2.49]","[409413390, 569198692, 894331, 1112442]",177831.21
"[1.0, 50.5]","[5.28, 32.9, 2.49]","[409421189, 569204575, 894404, 1112509]",177832.21
"[0.0, 49.9]","[5.27, 32.9, 2.49]","[409425283, 569208597, 894434, 1112540]",177833.22
"[0.5, 50.5]","[5.27, 32.9, 2.49]","[409430639, 569212929, 894472, 1112574]",177834.22
"[0.8, 48.8]","[5.27, 32.9, 2.49]","[409438457, 569219193, 894540, 1112638]",177835.22
"[1.0, 49.9]","[5.27, 32.9, 2.49]","[409445707, 569225153, 894602, 1112697]",177836.23
"[0.7, 48.3]","[5.28, 32.9, 2.49]","[409453789, 569231169, 894676, 1112764]",177837.23
"[0.5, 49.9]","[5.27, 32.9, 2.49]","[409457947, 569235163, 894708, 1112795]",177838.24
"[0.8, 49.4]","[5.28, 32.9, 2.49]","[409462727, 569239677, 894746, 1112831]",177839.24
"[1.0, 48.3]","[5.28, 32.9, 2.49]","[409469776, 569245058, 894806, 1112887]",177840.25
"[0.3, 49.4]","[5.28, 32.9, 2.49]","[409477242, 569251419, 894870, 1112949]",177841.25
"[0.8, 48.8]","[5.27, 32.9, 2.49]","[409484980, 569258063, 894940, 1113019]",177842.26
"[0.5, 48.8]","[5.27, 32.9, 2.49]","[409488728, 569261371, 894970, 1113047]",177843.26
"[0.5, 49.9]","[5.28, 32.9, 2.49]","[409493486, 569265981, 895010, 1113086]",177844.26
"[0.8, 49.9]","[5.27, 32.9, 2.49]","[409501186, 569271781, 895076, 1113148]",177845.27
"[1.0, 48.3]","[5.27, 32.9, 2.49]","[409508543, 569277820, 895144, 1113212]",177846.27
"[1.5, 48.8]","[5.27, 32.9, 2.49]","[409515617, 569283290, 895207, 1113272]",177847.28
"[1.5, 49.4]","[5.27, 32.9, 2.49]","[409519749, 569287280, 895238, 1113303]",177848.28
"[0.8, 49.9]","[5.28, 32.9, 2.49]","[409524289, 569291780, 895276, 1113341]",177849.29
"[0.5, 49.4]","[5.27, 32.9, 2.49]","[409532483, 569297942, 895349, 1113408]",177850.29
"[0.3, 49.4]","[5.27, 32.9, 2.49]","[409539800, 569303843, 895412, 1113467]",177851.30
"[0.8, 48.8]","[5.27, 32.9, 2.49]","[409547064, 569309793, 895474, 1113526]",177852.30
"[0.5, 49.4]","[5.28, 32.9, 2.49]","[409550829, 569313126, 895504, 1113554]",177853.31
"[0.3, 49.4]","[5.28, 32.9, 2.49]","[409555344, 569317535, 895542, 1113590]",177854.31
"[1.0, 49.4]","[5.28, 32.9, 2.49]","[409563296, 569323935, 895612, 1113657]",177855.31
"[0.8, 49.9]","[5.27, 32.9, 2.49]","[409570275, 569329282, 895674, 1113715]",177856.32
"[1.2, 49.9]","[5.27, 32.9, 2.49]","[409577086, 569335009, 895735, 1113774]",177857.32
"[0.7, 49.4]","[5.27, 32.9, 2.49]","[409581343, 569338856, 895771, 1113807]",177858.32
"[0.8, 48.8]","[5.28, 32.9, 2.49]","[409585743, 569342902, 895807, 1113840]",177859.33
"[1.0, 49.4]","[5.28, 32.9, 2.49]","[409593497, 569348782, 895880, 1113907]",177860.33
"[1.0, 49.9]","[5.28, 32.9, 2.49]","[409600750, 569354723, 895946, 1113969]",177861.34
"[0.8, 51.0]","[5.27, 32.9, 2.49]","[409607922, 569360601, 896010, 1114029]",177862.34
"[0.5, 48.3]","[5.27, 32.9, 2.49]","[409612080, 569364359, 896045, 1114061]",177863.35
"[1.2, 48.8]","[5.28, 32.9, 2.49]","[409616380, 569368419, 896080, 1114094]",177864.35
"[1.5, 49.4]","[5.27, 32.9, 2.49]","[409624023, 569374784, 896149, 1114162]",177865.36
"[0.5, 49.9]","[5.27, 32.9, 2.49]","[409631385, 569380344, 896216, 1114223]",177866.36
"[1.0, 49.4]","[5.27, 32.9, 2.49]","[409638287, 569386162, 896278, 1114283]",177867.37
"[0.7, 47.7]","[5.27, 32.9, 2.49]","[409643104, 569390709, 896313, 1114317]",177868.37
"[0.7, 49.4]","[5.27, 32.9, 2.49]","[409648789, 569395327, 896361, 1114363]",177869.37
"[0.3, 49.4]","[5.27, 32.9, 2.49]","[409655754, 569401188, 896423, 1114424]",177870.38
"[0.8, 49.4]","[5.27, 32.9, 2.49]","[409662925, 569406595, 896484, 1114480]",177871.38
"[0.5, 49.4]","[5.27, 32.9, 2.49]","[409670444, 569412912, 896551, 1114543]",177872.39
"[0.7, 48.8]","[5.27, 32.9, 2.49]","[409674606, 569416622, 896585, 1114574]",177873.39
"[0.3, 48.3]","[5.27, 32.9, 2.49]","[409680750, 569421750, 896633, 1114618]",177874.40
"[0.8, 49.4]","[5.27, 32.9, 2.49]","[409687580, 569427586, 896694, 1114678]",177875.41
"[0.7, 47.7]","[5.27, 32.9, 2.49]","[409694813, 569432979, 896758, 1114736]",177876.41
"[0.5, 49.4]","[5.27, 32.9, 2.49]","[409702222, 569439036, 896815, 1114793]",177877.42
"[1.0, 48.3]","[5.27, 32.9, 2.49]","[409706301, 569443233, 896848, 1114826]",177878.42
"[0.3, 49.4]","[5.27, 32.9, 2.49]","[409712269, 569447781, 896897, 1114868]",177879.43
"[0.3, 49.9]","[5.27, 32.9, 2.49]","[409719329, 569453859, 896956, 1114928]",177880.43
"[1.7, 48.3]","[5.27, 32.9, 2.49]","[409726903, 569460021, 897024, 1114992]",177881.44
"[1.0, 48.8]","[5.27, 32.9, 2.49]","[409733700, 569465426, 897084, 1115050]",177882.44
"[0.5, 49.4]","[5.27, 32.9, 2.49]","[409738182, 569469286, 897121, 1115083]",177883.44
"[0.7, 49.9]","[5.27, 32.9, 2.49]","[409743619, 569473933, 897160, 1115120]",177884.45
"[0.8, 49.9]","[5.27, 32.9, 2.49]","[409750570, 569479902, 897223, 1115183]",177885.45
"[0.5, 48.8]","[5.27, 32.9, 2.49]","[409758258, 569485576, 897292, 1115245]",177886.46
"[1.2, 48.3]","[5.27, 32.9, 2.49]","[409765658, 569491509, 897355, 1115304]",177887.46
"[0.8, 49.4]","[5.27, 32.9, 2.5]","[409770328, 569495987, 897393, 1115340]",177888.47
"[0.7, 49.4]","[5.27, 32.9, 2.49]","[409775441, 569500134, 897437, 1115380]",177889.47
"[0.5, 48.3]","[5.27, 32.9, 2.49]","[409782848, 569506175, 897496, 1115438]",177890.48
"[0.8, 49.9]","[5.27, 32.9, 2.49]","[409790005, 569512365, 897559, 1115500]",177891.48
"[1.0, 49.4]","[5.27, 32.9, 2.49]","[409796440, 569517659, 897613, 1115552]",177892.49
"[0.5, 49.4]","[5.27, 32.9, 2.5]","[409801422, 569522259, 897650, 1115587]",177893.49
"[0.5, 49.4]","[5.27, 32.9, 2.5]","[409806835, 569527034, 897694, 1115629]",177894.50
"[0.8, 48.3]","[5.27, 32.9, 2.5]","[409813600, 569532251, 897750, 1115683]",177895.50
"[0.5, 48.8]","[5.27, 32.9, 2.49]","[409822074, 569538345, 897818, 1115744]",177896.51
"[2.0, 48.8]","[5.27, 32.9, 2.49]","[409828252, 569543677, 897870, 1115795]",177897.51
"[0.8, 49.4]","[5.27, 32.9, 2.5]","[409832892, 569548219, 897908, 1115832]",177898.51
"[1.0, 48.3]","[5.27, 32.9, 2.49]","[409838997, 569552818, 897954, 1115872]",177899.52
"[0.3, 48.8]","[5.27, 32.9, 2.5]","[409846339, 569558926, 898019, 1115936]",177900.52
"[3.8, 49.4]","[5.27, 33.0, 2.5]","[409868421, 569579601, 898159, 1116074]",177901.53
"[2.2, 48.8]","[5.27, 33.0, 2.5]","[409897899, 569612340, 898345, 1116266]",177902.53
"[0.8, 49.9]","[5.27, 33.0, 2.5]","[409914043, 569624526, 898419, 1116340]",177903.54
"[0.5, 49.4]","[5.27, 33.0, 2.5]","[409921955, 569631650, 898488, 1116407]",177904.54
"[11.0, 50.5]","[5.31, 32.4, 2.45]","[409935289, 569642830, 898592, 1116509]",177905.55
"[27.3, 51.6]","[5.29, 32.7, 2.47]","[409952207, 569658944, 898712, 1116627]",177906.55
"[27.8, 51.6]","[5.22, 33.7, 2.55]","[409965899, 569675114, 898792, 1116710]",177907.55
"[0.8, 50.5]","[5.21, 33.7, 2.56]","[409972415, 569680932, 898846, 1116761]",177908.56
"[22.0, 51.6]","[5.16, 34.3, 2.61]","[409982663, 569690084, 898935, 1116849]",177909.56
"[1.0, 50.5]","[5.16, 34.4, 2.61]","[409998064, 569703991, 899051, 1116969]",177910.57
"[1.3, 50.5]","[5.16, 34.4, 2.61]","[410006043, 569710883, 899123, 1117041]",177911.57
"[2.0, 49.9]","[5.16, 34.4, 2.61]","[410019309, 569724842, 899219, 1117140]",177912.58
"[1.3, 51.0]","[5.16, 34.4, 2.61]","[410031443, 569738505, 899303, 1117225]",177913.58
"[4.5, 50.5]","[5.17, 34.3, 2.6]","[410049621, 569759823, 899416, 1117339]",177914.59
"[3.2, 50.5]","[5.18, 34.2, 2.59]","[410072171, 569783843, 899557, 1117484]",177915.59
"[2.8, 50.5]","[5.18, 34.2, 2.59]","[410111249, 569799642, 899684, 1117599]",177916.59
"[4.2, 50.5]","[5.19, 34.1, 2.58]","[410143723, 569818518, 899822, 1117737]",177917.60
"[2.5, 51.0]","[5.19, 34.0, 2.58]","[410161168, 569837032, 899943, 1117859]",177918.60
"[1.3, 49.9]","[5.19, 34.0, 2.58]","[410171913, 569847059, 900031, 1117948]",177919.61
"[1.3, 49.4]","[5.19, 34.0, 2.58]","[410185551, 569859531, 900140, 1118060]",177920.61
"[2.7, 49.4]","[5.19, 34.0, 2.58]","[410199347, 569872103, 900246, 1118167]",177921.62
"[24.9, 52.1]","[5.14, 34.6, 2.62]","[410219058, 569890294, 900375, 1118298]",177922.62
"[3.5, 51.0]","[5.14, 34.6, 2.63]","[410237364, 569909723, 900500, 1118423]",177923.62
"[1.0, 51.6]","[5.14, 34.6, 2.63]","[410251237, 569924701, 900596, 1118523]",177924.63
"[1.0, 51.6]","[5.14, 34.6, 2.63]","[410266404, 569941159, 900707, 1118634]",177925.63
"[2.0, 51.0]","[5.14, 34.6, 2.63]","[410296243, 569973485, 900899, 1118831]",177926.64
"[2.0, 51.0]","[5.16, 34.4, 2.61]","[410303445, 569979963, 900963, 1118896]",177927.64
"[1.0, 51.6]","[5.16, 34.4, 2.61]","[410308267, 569984327, 901007, 1118937]",177928.65
"[1.5, 49.9]","[5.16, 34.4, 2.61]","[410322378, 569999189, 901107, 1119034]",177929.65
"[3.8, 49.9]","[5.16, 34.3, 2.61]","[410343982, 570023119, 901239, 1119173]",177930.66
"[4.3, 50.5]","[5.16, 34.4, 2.61]","[410382706, 570066573, 901452, 1119398]",177931.66
"[1.8, 49.9]","[5.16, 34.4, 2.61]","[410388811, 570071988, 901507, 1119451]",177932.67
"[1.3, 50.5]","[5.16, 34.4, 2.61]","[410397736, 570080915, 901575, 1119518]",177933.67
"[0.8, 50.5]","[5.16, 34.4, 2.61]","[410408271, 570090044, 901659, 1119598]",177934.68
"[1.5, 49.4]","[5.16, 34.4, 2.61]","[410426737, 570106092, 901782, 1119727]",177935.68
"[2.0, 48.8]","[5.16, 34.4, 2.61]","[410436422, 570114287, 901867, 1119810]",177936.68
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[410448625, 570126498, 901960, 1119903]",177937.69
"[1.7, 49.4]","[5.19, 34.1, 2.58]","[410457633, 570135054, 902036, 1119979]",177938.69
"[2.0, 48.8]","[5.19, 34.0, 2.58]","[410482271, 570158432, 902226, 1120174]",177939.70
"[12.0, 51.0]","[5.16, 34.4, 2.61]","[410500187, 570175227, 902378, 1120329]",177940.70
"[14.6, 51.6]","[5.13, 34.7, 2.64]","[410519435, 570192940, 902510, 1120461]",177941.71
"[1.0, 51.6]","[5.13, 34.8, 2.64]","[410526586, 570199483, 902568, 1120520]",177942.71
"[1.2, 51.0]","[5.13, 34.8, 2.64]","[410533639, 570206194, 902631, 1120583]",177943.72
"[1.0, 51.6]","[5.13, 34.8, 2.64]","[410540579, 570211694, 902690, 1120637]",177944.72
"[2.0, 51.6]","[5.14, 34.6, 2.63]","[410551762, 570221471, 902784, 1120729]",177945.73
"[3.0, 49.9]","[5.14, 34.6, 2.63]","[410568900, 570237926, 902909, 1120849]",177946.73
"[1.3, 49.9]","[5.14, 34.6, 2.63]","[410585819, 570249623, 903007, 1120943]",177947.73
"[0.8, 49.9]","[5.14, 34.6, 2.63]","[410592684, 570256266, 903069, 1121006]",177948.74
"[2.8, 51.0]","[5.15, 34.5, 2.62]","[410601395, 570263875, 903145, 1121080]",177949.74
"[1.0, 50.5]","[5.15, 34.5, 2.62]","[410613578, 570275128, 903239, 1121176]",177950.75
"[1.8, 49.9]","[5.15, 34.5, 2.62]","[410623197, 570283307, 903326, 1121264]",177951.75
"[1.5, 49.4]","[5.15, 34.5, 2.62]","[410639641, 570298685, 903434, 1121373]",177952.76
"[1.5, 49.4]","[5.15, 34.5, 2.61]","[410647461, 570306441, 903497, 1121434]",177953.76
"[1.5, 50.5]","[5.2, 33.9, 2.57]","[410656389, 570313641, 903576, 1121506]",177954.77
"[1.8, 49.4]","[5.2, 33.9, 2.57]","[410674002, 570330124, 903676, 1121609]",177955.77
"[2.5, 49.9]","[5.2, 33.9, 2.57]","[410681046, 570336010, 903741, 1121674]",177956.78
"[1.8, 49.9]","[5.19, 33.9, 2.57]","[410686025, 570339887, 903788, 1121719]",177957.78
"[26.1, 53.2]","[5.14, 34.7, 2.63]","[410702880, 570355448, 903898, 1121828]",177958.79
"[1.5, 51.6]","[5.13, 34.7, 2.63]","[410716610, 570367508, 904003, 1121933]",177959.79
"[1.0, 51.6]","[5.13, 34.7, 2.63]","[410724040, 570373878, 904069, 1121997]",177960.80
"[1.5, 51.0]","[5.13, 34.7, 2.64]","[410732736, 570380566, 904150, 1122072]",177961.80
"[1.3, 51.6]","[5.13, 34.7, 2.64]","[410749819, 570396393, 904279, 1122201]",177962.80
"[2.0, 50.5]","[5.15, 34.5, 2.62]","[410755963, 570402293, 904331, 1122253]",177963.81
"[1.0, 51.0]","[5.15, 34.6, 2.62]","[410762768, 570407590, 904391, 1122308]",177964.81
"[1.2, 50.5]","[5.15, 34.5, 2.62]","[410773661, 570417195, 904482, 1122395]",177965.82
"[2.8, 49.9]","[5.16, 34.4, 2.61]","[410783735, 570425847, 904575, 1122486]",177966.82
"[1.8, 51.0]","[5.16, 34.4, 2.61]","[410794659, 570435367, 904666, 1122575]",177967.83
"[1.0, 49.9]","[5.16, 34.4, 2.61]","[410800415, 570441197, 904718, 1122628]",177968.83
"[1.5, 50.5]","[5.16, 34.4, 2.61]","[410840827, 570513625, 904795, 1122720]",177969.84
"[5.8, 49.9]","[5.15, 34.5, 2.62]","[410906959, 570537815, 904952, 1122860]",177970.84
"[1.2, 52.7]","[5.15, 34.5, 2.62]","[410928380, 570549692, 905072, 1122982]",177971.84
"[1.5, 51.6]","[5.15, 34.5, 2.62]","[410943866, 570652810, 905226, 1123163]",177972.85
"[1.5, 52.1]","[5.15, 34.5, 2.62]","[410955038, 570701734, 905333, 1123283]",177973.85
"[1.0, 51.0]","[5.15, 34.5, 2.62]","[410968637, 570782197, 905460, 1123445]",177974.86
"[1.7, 51.6]","[5.15, 34.5, 2.62]","[410977975, 570854547, 905557, 1123573]",177975.86
"[2.5, 51.0]","[5.15, 34.5, 2.62]","[411021238, 571018494, 905683, 1123757]",177976.87
"[8.6, 50.5]","[5.13, 34.7, 2.64]","[411104305, 571036033, 905815, 1123864]",177977.87
"[1.5, 51.6]","[5.13, 34.7, 2.64]","[411191983, 571044489, 905920, 1123958]",177978.87
"[2.0, 51.0]","[5.13, 34.7, 2.64]","[411205866, 571056774, 906000, 1124033]",177979.88
"[0.5, 52.1]","[5.13, 34.8, 2.64]","[411213138, 571062436, 906069, 1124095]",177980.88
"[1.0, 52.1]","[5.13, 34.7, 2.64]","[411232471, 571121859, 906228, 1124262]",177981.88
"[1.3, 50.5]","[5.13, 34.8, 2.64]","[411255386, 571177163, 906429, 1124476]",177982.89
"[5.5, 50.5]","[5.12, 34.8, 2.64]","[411298808, 571263459, 906693, 1124773]",177983.89
"[6.0, 51.0]","[5.12, 34.9, 2.65]","[411345096, 571356559, 906998, 1125114]",177984.90
"[6.8, 52.7]","[5.12, 34.9, 2.65]","[411389756, 571447889, 907285, 1125434]",177985.90
"[3.8, 52.1]","[5.12, 34.9, 2.65]","[411429619, 571534885, 907559, 1125752]",177987.00
"[2.3, 51.0]","[5.12, 34.9, 2.65]","[411464862, 571608613, 907766, 1125984]",177988.01
"[3.0, 52.1]","[5.12, 34.9, 2.65]","[411544637, 571725498, 907997, 1126239]",177989.01
"[2.5, 52.7]","[5.12, 34.9, 2.65]","[411573435, 571752828, 908185, 1126437]",177990.01
"[32.2, 53.8]","[5.12, 34.9, 2.65]","[411610633, 571780855, 908341, 1126578]",177991.01
"[1.0, 53.8]","[5.12, 34.9, 2.65]","[411631593, 571797139, 908450, 1126690]",177992.02
"[2.5, 51.0]","[5.12, 34.8, 2.64]","[411640876, 571805504, 908506, 1126747]",177993.02
"[0.8, 52.7]","[5.12, 34.9, 2.65]","[411655006, 571818586, 908597, 1126837]",177994.03
"[1.3, 52.7]","[5.12, 34.9, 2.65]","[411674269, 571837301, 908725, 1126964]",177995.03
"[3.7, 52.7]","[5.12, 34.9, 2.65]","[411727751, 571851867, 908860, 1127088]",177996.04
"[2.3, 52.7]","[5.12, 34.9, 2.65]","[411772727, 571886567, 909094, 1127318]",177997.04
"[8.1, 53.2]","[5.13, 34.7, 2.63]","[411787468, 571900222, 909192, 1127419]",177998.04
"[11.1, 54.3]","[5.11, 35.0, 2.66]","[411795996, 571907600, 909256, 1127477]",177999.05
"[1.2, 52.7]","[5.15, 34.5, 2.62]","[411807483, 571918569, 909339, 1127560]",178000.05
"[1.0, 53.2]","[5.15, 34.5, 2.62]","[411816136, 571925354, 909413, 1127627]",178001.06
"[21.2, 54.3]","[5.1, 35.1, 2.67]","[411832051, 571940289, 909538, 1127747]",178002.06
"[5.3, 53.2]","[5.09, 35.2, 2.67]","[411848714, 571956062, 909660, 1127873]",178003.06
"[3.0, 53.2]","[5.09, 35.3, 2.68]","[411866114, 571977641, 909757, 1127964]",178004.07
"[1.0, 53.2]","[5.09, 35.3, 2.68]","[411874581, 571986137, 909836, 1128042]",178005.07
"[1.0, 53.2]","[5.09, 35.3, 2.68]","[411903766, 571998468, 909960, 1128156]",178006.08
"[2.0, 53.2]","[5.15, 34.5, 2.62]","[411917412, 572011157, 910065, 1128269]",178007.08
"[2.2, 51.6]","[5.15, 34.6, 2.62]","[411932582, 572027607, 910176, 1128384]",178008.09
"[2.5, 51.6]","[5.15, 34.6, 2.62]","[411949395, 572044584, 910302, 1128516]",178009.09
"[1.5, 52.7]","[5.14, 34.6, 2.62]","[411962068, 572055341, 910413, 1128623]",178010.10
"[1.0, 52.1]","[5.15, 34.6, 2.62]","[411984632, 572067253, 910519, 1128722]",178011.10
"[29.2, 53.2]","[5.07, 35.5, 2.69]","[412015674, 572081120, 910648, 1128849]",178012.10
"[1.3, 52.7]","[5.07, 35.5, 2.7]","[412021255, 572086461, 910689, 1128891]",178013.11
"[2.5, 52.1]","[5.06, 35.6, 2.7]","[412167690, 572163062, 910815, 1128983]",178014.11
"[3.0, 52.7]","[5.07, 35.6, 2.7]","[412182456, 572178316, 910923, 1129092]",178015.12
"[0.8, 53.8]","[5.07, 35.6, 2.7]","[412194083, 572193279, 911018, 1129192]",178016.12
"[1.3, 52.7]","[5.07, 35.6, 2.7]","[412203328, 572200602, 911102, 1129270]",178017.12
"[1.0, 53.8]","[5.07, 35.6, 2.7]","[412208575, 572205693, 911152, 1129318]",178018.12
"[1.0, 51.6]","[5.07, 35.6, 2.7]","[412214114, 572210806, 911200, 1129364]",178019.13
"[1.8, 51.0]","[5.07, 35.5, 2.7]","[412226769, 572221401, 911306, 1129465]",178020.13
"[3.3, 53.2]","[5.08, 35.5, 2.69]","[412248615, 572245341, 911451, 1129612]",178021.14
"[1.2, 51.6]","[5.08, 35.5, 2.69]","[412257523, 572254167, 911530, 1129689]",178022.14
"[1.7, 51.0]","[5.08, 35.5, 2.69]","[412270924, 572267025, 911618, 1129773]",178023.15
"[1.7, 51.0]","[5.08, 35.5, 2.69]","[412278079, 572273426, 911682, 1129829]",178024.15
"[0.3, 51.6]","[5.08, 35.5, 2.69]","[412285771, 572279822, 911757, 1129899]",178025.16
"[3.5, 51.6]","[5.08, 35.5, 2.69]","[412298047, 572297078, 911848, 1129985]",178026.16
"[1.3, 52.1]","[5.08, 35.5, 2.69]","[412314109, 572313767, 911956, 1130094]",178027.17
"[0.8, 52.7]","[5.08, 35.5, 2.69]","[412322249, 572321849, 912025, 1130165]",178028.17
"[1.5, 51.6]","[5.08, 35.5, 2.69]","[412328403, 572327995, 912081, 1130222]",178029.17
"[1.5, 52.1]","[5.08, 35.5, 2.69]","[412336768, 572334354, 912155, 1130288]",178030.18
"[1.0, 52.7]","[5.08, 35.5, 2.69]","[412349457, 572349183, 912257, 1130383]",178031.18
"[2.7, 52.7]","[5.08, 35.5, 2.69]","[412357618, 572356046, 912333, 1130453]",178032.19
"[1.3, 51.6]","[5.08, 35.5, 2.69]","[412363746, 572365034, 912378, 1130499]",178033.19
"[1.0, 51.6]","[5.08, 35.5, 2.69]","[412369394, 572370650, 912429, 1130547]",178034.19
"[1.0, 51.0]","[5.08, 35.4, 2.69]","[412376645, 572376863, 912496, 1130612]",178035.20
